代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
6542,隆中,54.3,0,0,5,12月24日,55.8↘,57.1↘,55.7↘,58.6↘,63.7↘,64.8↗,59↘,64↘,65.6↘,
6552,易華電,58.5,5.3,9.96,"3,303",12月24日,54.1↗,53.4↗,53.7↗,55.7↘,60.3↗,60.2↗,59.3↘,74.5↘,,
6558,興能高,32.55,0.4,1.24,300,12月24日,32↗,32↘,32.3↘,32.1↗,34↘,39.6↘,43.4↘,49.8↘,,
6560,欣普羅,75.1,0.3,0.4,56,12月24日,74.3↘,74.7↘,80.1↘,82.2↘,91.3↘,95.8↘,72.1↗,62.3↗,,
6561,是方,280,0,0,19,12月24日,281→,280↗,276↘,276↗,282↘,297↘,307↗,272↗,,
6569,醫揚,105.5,1,0.96,7,12月24日,105↗,105↘,105↗,106↘,115↘,124↘,138↘,147↘,,
6574,霈方,47.45,-1.25,-2.57,13,12月24日,48.1↘,48.2↘,48.1↘,48.4↘,50.7↘,54.4↘,58.4↘,66.7↘,,
6578,達邦蛋白,17.5,-0.1,-0.57,41,12月24日,17.7↘,17.9↘,18.2↘,17.7↘,18.3↘,19.7↘,20↘,22↘,,
6582,申豐,163.5,-1,-0.61,93,12月24日,164↗,162↘,172↘,178↘,209↘,215↗,168↗,130↗,,
6588,東典光電,49.9,0.35,0.71,6,12月24日,49.6↗,48.5↗,48↗,46.6↗,46.3↘,54.8↘,,,,
6589,台康生技,112,-1,-0.88,574,12月24日,113↗,113↘,112↗,109↘,121↘,114↗,80.2↗,,,
6596,寬宏藝術,48.65,0.05,0.1,17,12月24日,48.8↘,48.9↘,49.1↘,48.9↗,48.8↘,50.8↘,51.8↘,54.7↗,,
6598,ABC-KY,42.4,-1.7,-3.85,511,12月24日,44.6↘,44.4↘,41.4↗,35↗,38↘,44.1↘,,,,
6615,慧智,48.75,0.55,1.14,13,12月24日,48.6↘,48.6↘,47.6↗,46.5↗,47.5↗,48.9↘,55.3↘,67.4↘,,
6616,特昇-KY,18.85,0.2,1.07,41,12月24日,18.6↘,19.1↘,20↘,21.2↘,22.1↘,24.7↘,27↘,27.2↗,,
6629,泰金-KY,60.6,-2,-3.19,9,12月24日,63.1↘,63.1↘,62↗,58.6↗,60.2↘,63.6↘,59.7↗,,,
6641,基士德-KY,60.2,-0.3,-0.5,23,12月24日,60.4↘,60.2↗,59.7↗,57.9↗,60.7↘,64.2↘,64.3↘,64.8↘,,
6642,富致,71.4,0.6,0.85,61,12月24日,70↗,70.2↘,69.8↗,69.7↘,77.7↘,72.3↗,54.2↗,,,
6649,台生材,25.9,0.4,1.57,17,12月24日,25.5↘,25.7↘,25.5↗,25.6↘,26.6↘,28.3↘,30↘,,,
6662,樂斯科,30.5,0,0,7,12月24日,30.5→,30.5↗,30.5→,30.7↘,31.4↘,32.7↘,35.1↘,,,
6666,羅麗芬-KY,69.4,0.4,0.58,14,12月24日,69↗,68.7↗,68.1↗,68.2↘,71.8↘,80↘,99.9↘,127↘,,
6668,中揚光,56.1,-1.7,-2.94,763,12月24日,58↘,58.1↗,55.8↘,52.3↗,56.2↘,61.8↗,62↘,,,
6670,復盛應用,193.5,0,0,57,12月24日,193↘,195↘,197↘,191↗,195↘,201↗,187↗,,,
6680,鑫創電子,49.95,0,0,2,12月24日,49.8↘,49.9↘,50.3↘,50.6↘,51.9↘,56↘,58.8↘,,,
6683,雍智科技,313.5,-2.5,-0.79,39,12月24日,313↗,312↗,315↘,322↘,332↘,327↗,291↗,,,
6697,東捷資訊,38.5,-0.4,-1.03,3,12月24日,39↘,38.9↘,39↘,39↗,39.2↘,39.8↗,,,,
6703,軒郁,85.2,-1.4,-1.62,12,12月24日,85.8↘,86.3↘,86.8↘,86.6↗,89.8↘,98.6↘,,,,
6732,昇佳電子,512,-3,-0.58,144,12月24日,516↗,506↗,501↗,531↘,628↘,664↘,,,,
6743,安普新,71.5,-0.5,-0.69,164,12月24日,71.8↘,72.5↘,74.2↘,73.8↘,83.9↘,111↘,,,,
6752,叡揚,60,-1,-1.64,23,12月24日,60.8↘,60.9↘,60.9↘,60.7↘,61.5↘,61.9↗,,,,
6754,匯僑設計,40.65,-0.1,-0.25,91,12月24日,40.7↘,40.8↘,41.2↘,41.1↘,43.1↘,43.6↘,,,,
6762,達亞,265,0,0,0,12月24日,263↘,265↗,265↘,268↘,284↘,288↘,,,,
7556,意德士,109.5,-1,-0.9,7,12月24日,111↘,111↘,112↘,113↘,119↘,130↗,,,,
8028,昇陽半導體,49.3,0.1,0.2,385,12月24日,48.9↗,49→,49.4↘,49.2↘,50.8↗,51.1↘,52.5↘,53.7↗,,
8039,台虹,47.05,0.45,0.97,672,12月24日,46.4↗,46.3↗,46.6↗,46.3↗,48.9↘,50.4↘,49.9↗,46.9↗,45.1↗,43.9↗
8043,蜜望實,27.25,0.1,0.37,154,12月24日,27.1↗,27.2↗,27.1↘,26.3↗,27.9↘,29.1↘,27.7↘,30.6↘,30.9↗,23.6↗
8066,來思達,34.75,0.15,0.43,13,12月24日,35↗,34.4↗,33.4↗,34.1↗,38↘,44.7↘,53.8↘,68.1↘,87.6↘,71.3↗
8070,長華*,34.35,-0.1,-0.29,"2,487",12月24日,33.7↗,33.2↗,33.5↗,33.3↗,33.9↗,34.7↗,73.7↘,101↘,117↘,101↘
8083,瑞穎,179,0,0,5,12月24日,178↗,178↘,177↗,178↘,182↘,187↘,177↗,166↗,157↗,132↗
8084,巨虹,60.6,0.4,0.66,25,12月24日,60.3↗,60.7↘,61.8↘,67↘,72.4↘,76.8↘,59.7↗,50.2↗,44.7↗,31.9↗
8086,宏捷科,141.5,0.5,0.35,"1,704",12月24日,139↗,140→,143↘,146↘,155↘,151↗,124↗,105↗,86.6↗,63.4↗
8088,品安,24.45,-0.05,-0.2,273,12月24日,24.2↗,24.1↗,24↗,22.5↗,24.1↘,26.7↘,26.9↘,24.3↗,21.9↗,22.6↗
8089,康全電訊,31.6,-1.15,-3.51,597,12月24日,33.3↘,32↗,29.6↗,27.1↗,26.7↗,32.8↘,,,,
8093,保銳,8.1,-0.04,-0.49,61,12月24日,8.08↗,8.09↗,8.08↘,7.92↗,8.32↘,10↘,8.57↗,7.74↗,8.02↗,7.28↗
8107,大億金茂,18.65,-0.1,-0.53,66,12月24日,18.7↘,19↘,18.7↗,18.4↗,18.8↘,20→,18.7↘,20.1↘,25.4↘,19.9↗
8131,福懋科,38.8,0.05,0.13,155,12月24日,38.7↗,38.7↘,38.8↘,38.4↗,38.8↘,39.1↗,37.8↗,36.6↗,34.3↗,27.9↗
8176,智捷,8.9,0.01,0.11,66,12月24日,8.93↘,8.89↗,8.67↗,8.55↗,8.65↘,8.91↘,9.13↘,9.91↘,10.7↗,
8210,勤誠,75.6,0.3,0.4,309,12月24日,74.2↗,73.6↗,73.9↘,75↗,74.4↗,77.6↘,83.6↘,77.3↗,65.2↗,53.5↗
8240,華宏,32.1,-0.2,-0.62,180,12月24日,32.3↘,32.2↗,31.3↗,29.4↗,30.8↘,32.9↘,29.8↗,28↗,24.6↗,28.6↘
8284,三竹,45.95,0.15,0.33,21,12月24日,45.7↗,45.7↗,45.8↘,45.4↗,45.7↘,46.9↘,,,,
8341,日友,202,1.5,0.75,67,12月24日,200↗,200↗,199↗,201↗,203↘,212↘,228↘,237↘,219↗,
8342,益張,51.9,0,0,7,12月24日,51.9↗,51.9↘,52↘,51.5↗,51.3↗,52.7↗,51.4↗,49.2↗,,
8349,恒耀,59.4,-0.4,-0.67,53,12月24日,58.8↗,58.4↗,58.2↗,58.6↘,61.1↘,65.9↘,59↘,63.2↘,78.2↘,70.2↗
8349A,恒耀甲特,44.9,-0.05,-0.11,13,12月24日,45↘,45→,45↘,45↗,45↘,45.2↗,,,,
8354,冠好,14.75,0.1,0.68,29,12月24日,14.7→,14.7↗,14.6↗,14.7↗,14.9↘,15.5↘,16.6↘,17.6↘,17.9↘,16.6↗
8383,千附,40.55,0.2,0.5,182,12月24日,40.3↗,40.3↗,40.3↘,40.5↘,40.1↘,41↗,39.1↗,38.7↗,41.4↘,37.3↗
8390,金益鼎,34.25,0.4,1.18,444,12月24日,33.8↗,33.5↗,33.2↗,33.7↘,36.6↘,36.7↘,29.2↗,24.9↗,21.6↗,22.1↘
8403,盛弘,26.7,0.15,0.56,103,12月24日,26.5↗,26.5→,26.7↗,26.5↘,27.9↘,30.1↘,33.2↘,31.6↘,32.8↘,35.2↘
8404,百和興業-KY,34.45,-0.05,-0.14,208,12月24日,34.2↗,34.1↘,34.4↘,35.2↘,38↘,37.5↗,34.9↘,38.1↘,43↘,32.8↗
8409,商之器,17,0,0,33,12月24日,16.9↗,16.7↗,16.5↗,16↗,17↘,17.9↘,18.2↗,17.5↗,17.7↘,
8410,森田,32.3,0,0,10,12月24日,31.8↗,31.7↗,31.6↗,32.1↗,34.5↘,40.3↘,39.3↗,34.9↗,33.2↗,33.5↘
8416,實威,118.5,0,0,10,12月24日,118→,118↘,118↘,118↘,120↘,121↗,117↗,118↘,114↗,
8418,捷必勝-KY,10.3,0,0,0,12月24日,10.3↘,10.3↗,10.4↘,10.5↘,10.8↘,10.9↘,12.2↘,13.1↘,13.4↗,
8432,東生華,44.35,-0.25,-0.56,39,12月24日,44.2↗,44.1↗,44.2↘,43.4↗,42.1↗,46.5↘,57.6↘,62.6↘,67.9↘,
8436,大江,207.5,1.5,0.73,303,12月24日,207↗,205↗,206↘,215↘,243↘,233↘,242↘,298↘,300↗,
8437,大地-KY,144,-3,-2.04,14,12月24日,145↘,146↘,146↘,149↘,159↘,166↘,178↘,199↘,202↘,
8446,華研,88.4,-0.1,-0.11,33,12月24日,88.6↘,88.9↘,88.5↘,89↗,88.7↘,95.7↘,102↘,107↗,110↘,
8462,柏文,135,-0.5,-0.37,28,12月24日,136↗,136↘,136↘,140↘,143↘,148↘,159↘,176↘,158↗,
8463,潤泰材,30.35,-0.3,-0.98,76,12月24日,30.8↘,30.7↘,30.7↘,32.3↘,34.6↘,35.7↘,36.8↘,34.4↗,29.1↗,
8466,美吉吉-KY,52.4,-0.3,-0.57,26,12月24日,52.7↘,52.7↘,52.5↗,53.1↘,54.4↘,57.7↘,61.7↘,64.1↘,75.2↘,
8467,波力-KY,39.05,0.1,0.26,6,12月24日,39.1↗,39.3↘,39.6↘,40.3↘,39.8↘,42.5↘,46.9↘,46.5↗,41↗,
8472,夠麻吉,49.6,-1.4,-2.75,2,12月24日,50.9↘,50.5↘,50.5↘,54.4↘,57↘,62↘,48.5↗,41.1↗,38.8↗,
8473,山林水,32.9,-0.15,-0.45,88,12月24日,33.1↘,33.3↘,33.4↘,33.7↘,36↘,38.3↘,41.2↘,45.7↘,52.1↘,
8477,創業家,32.6,-0.15,-0.46,24,12月24日,32.7↘,33.1↘,33.9↘,35.2↘,36.7↘,35.9↘,38↘,42.2↘,45.3↘,
8480,泰昇-KY,103.5,-0.5,-0.48,3,12月24日,104↘,104↘,104↘,105↘,108↘,113↘,120↘,123↘,,
8481,政伸,72.6,0.1,0.14,15,12月24日,72.6↘,72.8↗,72.2↗,71.7↘,74.5↘,77.3↗,69.7↗,65.4↗,,
8482,商億-KY,77.4,0.9,1.18,36,12月24日,76.8↗,76.7↗,74.7↗,72.8↗,73.1↗,78.2↘,96↘,109↘,,
8489,三貝德,34.9,3.15,9.92,446,12月24日,32.3↗,31.7↗,31.5↗,32.9↗,34.8↘,41↘,53.4↘,80.3↘,,
8499,鼎炫-KY,125,0.5,0.4,46,12月24日,125→,124↗,124↘,121↗,125↘,133↘,125↗,119↗,,
8916,光隆,40.4,0,0,24,12月24日,40.4↘,40.5↘,40.6↘,41↘,41.6↘,41.5↗,41.7↘,43.2↘,44.6↘,40.8↗
8916A,光隆甲特,49.4,0,0,23,12月24日,49.4→,49.4↘,49.4↘,49.2↗,49.5↘,50.1↘,51↘,,,
8921,沈氏,14.4,0,0,1,12月24日,14.4↘,14.4↗,14.5↘,14.9↘,15.4↘,15.4↗,14.5↗,14.2↗,14.2↘,16.1↗
8926,台汽電,37.65,0.05,0.13,129,12月24日,37.7↗,37.6↗,37.7↘,38.1↘,38.1↘,38.3↘,37.1↗,33.8↗,30.2↗,26↗
8927,北基,30.25,0.25,0.83,177,12月24日,30.1↘,30.2↘,31.2↘,33↘,34.4↘,31.6↗,23.6↗,21.4↗,17.7↗,14.9↗
8930,青鋼,15.05,-0.1,-0.66,133,12月24日,15.1↗,15↘,15↗,14.8↗,15.8↘,15.2↘,13.6↗,13.4↗,13.9↗,13.2↗
8936,國統,21.7,0.3,1.4,"2,033",12月24日,21.5↗,21.2↗,20.9↗,21↘,22.5↘,25.6↘,21.7↗,21.2↗,20.8↗,27.7↘
8942,森鉅,67.3,0.2,0.3,155,12月24日,67.2↘,67.2↘,67.4↘,67.8↘,69.9↘,67.6↗,61.8↗,64.9↗,67.2↘,69.4↗
9103,美德醫療-DR,14.15,0.1,0.71,351,12月24日,14↘,14.4↘,14.7↗,13.4↘,15.8↘,20↘,20.5↗,14↗,9.03↗,5.7↗
910861,神州-DR,7.23,-0.01,-0.14,45,12月24日,7.27↘,7.49↘,7.42↗,7.46↘,7.89↘,9.06↘,9.56↘,8.99↘,9.27↘,13.9↘
9110,越南控-DR,2.91,-0.01,-0.34,92,12月24日,2.91↘,2.92↘,2.94↘,2.98↘,3.02↘,2.96↘,2.86↗,2.6↗,2.97↘,3.95↘
911608,明輝-DR,3.49,-0.07,-1.97,154,12月24日,3.56↘,3.58↘,3.63↘,3.68↘,3.86↘,3.96↘,4.44↗,3.32↗,2.81↗,4.52↘
911622,泰聚亨-DR,5.98,-0.02,-0.33,225,12月24日,6.03↘,6.05↘,6.03↘,6.17↘,7.07↘,6.13↗,7.92↘,7.41↘,8.07↘,10.3↘
911868,同方友友-DR,1.28,0,0,303,12月24日,1.29↗,1.28→,1.28↘,1.28↘,1.4↘,1.47↘,1.56↗,1.42↗,1.51↘,2.22↘
9136,巨騰-DR,5.7,-0.04,-0.7,"1,025",12月24日,5.75↘,5.78↘,5.83↘,5.94↘,6.65↘,8.07↘,8.83↘,8.5↘,8.88↘,12.1↘
9188,精熙-DR,2.96,0,0,58,12月24日,2.96→,2.96↗,2.96↘,2.98↘,3.03↘,3.02→,3.18↘,3.56↘,4.09↘,3.76↘
9802,鈺齊-KY,93.9,0.6,0.64,164,12月24日,93.3↗,94.4↘,96.5↘,99.2↘,96.8↘,106↘,108↘,98.9↗,85.9↗,
9904,寶成,32.95,0.25,0.76,"2,550",12月24日,32.6↗,32.7↘,32.9↘,33.5↘,34.1↘,33.6↗,31.7↘,33.7↘,35.4↘,35.8↗
9908,大台北,33,-0.1,-0.3,104,12月24日,33.1→,33↘,33.2↘,33.2↘,33.2↘,33.4↘,32.3↗,31.4↗,29.4↗,25.7↗
9919,康那香,25.8,0.05,0.19,699,12月24日,25.8↘,25.5↗,25.5↗,23.5↗,25.7↘,29.9↘,30.9↗,24.1↗,19.1↗,16.2↗
9924,福興,41.1,0.05,0.12,80,12月24日,41↗,41↗,41→,40.8↗,41.6↘,43.4↘,42.5↘,42.1↗,40.5↗,36.7↗
9929,秋雨,9.51,0.06,0.63,24,12月24日,9.42↗,9.42↗,9.41↘,9.51↘,9.98↘,11.4↘,11.8↘,13↘,12.4↘,10.4↗
9930,中聯資源,45.15,0.05,0.11,46,12月24日,44.9↗,44.8↗,44.7↗,44.9↗,45.6↘,46↘,45.8↘,47.8↘,50.9↘,54.9↗
9931,欣高,40,0.4,1.01,6,12月24日,40↘,40.1↘,39.9↗,39.6↘,39.4↗,40.4↘,39.8↗,37.7↗,35.2↗,33.8↗
9933,中鼎,37,-0.05,-0.13,890,12月24日,36.9↗,36.5↗,36.2↗,36.3↗,36.9↘,37.2↘,36.8↘,39.4↘,42.9↘,46.2↘
9934,成霖,14.85,0.1,0.68,195,12月24日,14.7↗,14.7↗,14.7→,15↘,15.8↘,16.1↘,15.3↘,15.8↘,17↗,17.1↘
9935,慶豐富,19.8,-0.2,-1,145,12月24日,19.9↘,19.8→,19.9↘,19.9↘,20.6↘,23.2↘,27.6↘,28↗,24.1↗,16.1↗
9937,全國,49,0,0,41,12月24日,49→,49↗,48.9↗,48.5↗,48.6↗,49.2↘,47.3↗,45.4↗,43.1↗,38↗
9938,百和,80.9,-0.3,-0.37,444,12月24日,81↘,81.2↘,80.3↘,81.1↘,85.2↘,86↗,78↗,77.4↗,83.8↘,66.4↗
9939,宏全,69.4,0,0,199,12月24日,69.5↘,69.3↗,68.5↗,67.9↘,71.4↘,69.6↗,63.1↗,59.6↗,57.7↗,58.6↗
9943,好樂迪,60.9,0.7,1.16,96,12月24日,60.4↗,60.4↗,60.5↘,61.3↘,61.9↘,62.9↘,63.6↘,64.3↗,60.1↗,52.8↗
9946,三發地產,14.9,0.05,0.34,28,12月24日,14.8→,14.9↘,15.1↘,15.2↘,15.5↗,15.6↘,16.8↘,17.8↗,15.6↗,17.5↘
9950,萬國通,9.36,-0.28,-2.9,13,12月24日,9.74↘,9.79↘,9.87↘,10.1↘,10.4↘,10.8↘,10.7↘,11.8↘,12.5↘,18↘
9951,皇田,78.9,1.1,1.41,98,12月24日,77.9↗,77.8↗,78.1↗,79.4↘,84.5↘,88.7↘,83.4↘,85.3↗,111↘,108↗
9955,佳龍,17.25,0.1,0.58,118,12月24日,17.2↘,17.1↗,17↗,16.9↗,17.3↘,18.2↘,18.1↘,17.5↗,16.1↗,18.4↘
9958,世紀鋼,110.5,-1,-0.9,"1,752",12月24日,112↘,112↗,111↘,112↗,114↘,113↘,105↗,93.2↗,70.5↗,40.6↗
9960,邁達康,27.2,0,0,12,12月24日,27.2↗,27.2↘,26.9↘,27.4↗,27.2↘,28.4↘,28.5↘,29.2↘,30.6↘,24.9↗
